name,url,rating,location,city,area,cuisine,price,reviews,restaurant_type,num_ratings,online_delivery,table_booking,avg_cost_for_two,is_delivering_now,switch_to_order_menu
C-market,https://en.wikipedia.org/wiki/List_of_supermarket_chains,3.8,"Karol Bagh, Delhi",Delhi,Karol Bagh,Restaurant,Low,3910,Casual Dining,1272,Yes,No,245.0,No,Yes
Extra,https://en.wikipedia.org/wiki/List_of_supermarket_chains,3.4,"Andheri, Mumbai",Delhi,Karol Bagh,Restaurant,Low,1074,Fast Food,3193,No,No,120.0,No,No
Coop Forum,https://en.wikipedia.org/wiki/List_of_supermarket_chains,2.5,"Edappally, Kochi",Kochi,Edappally,Restaurant,High,3041,Fine Dining,1439,No,No,1408.0,No,No
Pressbyrån,https://en.wikipedia.org/wiki/List_of_supermarket_chains,3.7,"Connaught Place, Delhi",Delhi,Connaught Place,Restaurant,High,1064,Fine Dining,1654,No,Yes,1713.0,No,No
Continente,https://en.wikipedia.org/wiki/List_of_supermarket_chains,4.7,"Karol Bagh, Delhi",Delhi,Karol Bagh,Restaurant,Low,4826,Fine Dining,3726,No,Yes,117.0,No,No
Sonae,https://en.wikipedia.org/wiki/List_of_supermarket_chains,4.2,"Colaba, Mumbai",Mumbai,Colaba,Restaurant,Low,2058,Fast Food,3141,No,No,303.0,No,No
Ultra Food & Drug,https://en.wikipedia.org/wiki/List_of_supermarket_chains,3.9,"Colaba, Mumbai",Mumbai,Colaba,Restaurant,High,3836,Fine Dining,818,No,No,1964.0,No,No
Tesco Ireland,https://en.wikipedia.org/wiki/List_of_supermarket_chains,2.6,"Kakkanad, Kochi",Kochi,Kakkanad,Restaurant,Low,4450,Fine Dining,2732,No,No,322.0,No,No
Caprabo,https://en.wikipedia.org/wiki/List_of_supermarket_chains,3.8,"Bandra, Mumbai",Mumbai,Bandra,Restaurant,High,3366,Fine Dining,958,Yes,No,1239.0,Yes,Yes
Julius Meinl,https://en.wikipedia.org/wiki/List_of_supermarket_chains,3.8,"Saket, Delhi",Delhi,Saket,Restaurant,Low,3824,Fine Dining,743,Yes,No,339.0,Yes,Yes
Centra,https://en.wikipedia.org/wiki/List_of_supermarket_chains,4.1,"Andheri, Mumbai",Mumbai,Andheri,Restaurant,High,334,Fine Dining,1707,No,No,1239.0,No,No
The Cope,https://en.wikipedia.org/wiki/List_of_supermarket_chains,3.5,"Andheri, Mumbai",Mumbai,Andheri,Restaurant,High,4581,Fine Dining,1990,No,Yes,2063.0,No,No
Fortinos,https://en.wikipedia.org/wiki/List_of_supermarket_chains,3.6,"Karol Bagh, Delhi",Delhi,Karol Bagh,Restaurant,Low,3062,Fine Dining,2888,No,Yes,207.0,No,No
Mousquetaires Group,https://en.wikipedia.org/wiki/List_of_supermarket_chains,2.6,"Whitefield, Bangalore",Bangalore,Whitefield,Restaurant,Medium,3019,Fast Food,2220,Yes,No,510.0,Yes,Yes
Alcampo,https://en.wikipedia.org/wiki/List_of_supermarket_chains,4.2,"Karol Bagh, Delhi",Delhi,Karol Bagh,Restaurant,Medium,259,Casual Dining,2419,Yes,No,628.0,Yes,Yes
Daiei,https://en.wikipedia.org/wiki/List_of_supermarket_chains,3.9,"Bandra, Mumbai",Mumbai,Bandra,Restaurant,High,2843,Fine Dining,2593,No,No,2214.0,No,No
Aurrerá,https://en.wikipedia.org/wiki/List_of_supermarket_chains,4.7,"Connaught Place, Delhi",Delhi,Connaught Place,Restaurant,High,3957,Fine Dining,468,No,No,1763.0,No,No
Soriana,https://en.wikipedia.org/wiki/List_of_supermarket_chains,2.6,"Saket, Delhi",Delhi,Saket,Restaurant,High,3513,Fine Dining,1400,No,Yes,1743.0,No,No
Comercial Mexicana,https://en.wikipedia.org/wiki/List_of_supermarket_chains,3.8,"Andheri, Mumbai",Mumbai,Andheri,Restaurant,Low,4107,Fine Dining,302,No,Yes,375.0,No,No
Kingfisher plc,https://en.wikipedia.org/wiki/List_of_supermarket_chains,3.2,"Whitefield, Bangalore",Bangalore,Whitefield,Restaurant,High,3534,Fine Dining,713,Yes,Yes,1305.0,Yes,Yes
S Group,https://en.wikipedia.org/wiki/List_of_supermarket_chains,2.6,"Whitefield, Bangalore",Bangalore,Whitefield,Restaurant,Low,269,Fine Dining,3747,No,No,320.0,No,No
Overwaitea Foods,https://en.wikipedia.org/wiki/List_of_supermarket_chains,4.5,"Bandra, Mumbai",Mumbai,Bandra,Restaurant,Medium,386,Fast Food,779,No,Yes,797.0,No,No
Kopeyka,https://en.wikipedia.org/wiki/List_of_supermarket_chains,4.1,"Saket, Delhi",Delhi,Saket,Restaurant,Low,1499,Casual Dining,3422,Yes,Yes,235.0,Yes,Yes
Perekrestok,https://en.wikipedia.org/wiki/List_of_supermarket_chains,2.9,"Fort Kochi, Kochi",Kochi,Fort Kochi,Restaurant,Medium,2981,Fast Food,1042,Yes,No,736.0,Yes,Yes
Pyaterochka,https://en.wikipedia.org/wiki/List_of_supermarket_chains,3.8,"MG Road, Bangalore",Bangalore,MG Road,Restaurant,High,15,Fine Dining,663,Yes,Yes,2460.0,No,Yes
Seiyu Group,https://en.wikipedia.org/wiki/List_of_supermarket_chains,2.7,"MG Road, Bangalore",Bangalore,MG Road,Restaurant,Low,3099,Fine Dining,912,No,Yes,258.0,No,No
Albert Heijn,https://en.wikipedia.org/wiki/List_of_supermarket_chains,4.2,"Karol Bagh, Delhi",Delhi,Karol Bagh,Restaurant,Low,3347,Fast Food,1949,Yes,No,371.0,Yes,Yes
Save-On-Foods,https://en.wikipedia.org/wiki/List_of_supermarket_chains,4.2,"Indiranagar, Bangalore",Bangalore,Indiranagar,Restaurant,Medium,2484,Fast Food,3207,Yes,No,462.0,No,Yes
Nakumatt,https://en.wikipedia.org/wiki/List_of_supermarket_chains,2.8,"MG Road, Bangalore",Bangalore,MG Road,Restaurant,High,3877,Fine Dining,3592,Yes,Yes,2085.0,Yes,Yes
Uchumi,https://en.wikipedia.org/wiki/List_of_supermarket_chains,4.4,"Connaught Place, Delhi",Delhi,Connaught Place,Restaurant,Medium,3634,Fine Dining,1333,No,No,633.0,No,No
Coin,https://en.wikipedia.org/wiki/List_of_supermarket_chains,4.2,"Bandra, Mumbai",Mumbai,Bandra,Restaurant,Medium,2706,Casual Dining,1985,Yes,Yes,445.0,Yes,Yes
UPIM,https://en.wikipedia.org/wiki/List_of_supermarket_chains,4.6,"Indiranagar, Bangalore",Bangalore,Indiranagar,Restaurant,Low,4001,Casual Dining,878,Yes,No,319.0,Yes,Yes
Watsons,https://en.wikipedia.org/wiki/List_of_supermarket_chains,4.9,"Colaba, Mumbai",Mumbai,Colaba,Restaurant,Low,3412,Fast Food,1460,Yes,No,270.0,Yes,Yes
Circle K,https://en.wikipedia.org/wiki/List_of_supermarket_chains,3.0,"Colaba, Mumbai",Mumbai,Colaba,Restaurant,Low,601,Fast Food,422,Yes,No,343.0,No,Yes
Hero,https://en.wikipedia.org/wiki/List_of_supermarket_chains,3.6,"Edappally, Kochi",Kochi,Edappally,Restaurant,Medium,3035,Fast Food,1285,Yes,No,884.0,Yes,Yes
Sogo,https://en.wikipedia.org/wiki/List_of_supermarket_chains,4.6,"Edappally, Kochi",Kochi,Edappally,Restaurant,Medium,160,Casual Dining,679,No,Yes,995.0,No,No
Yaohan,https://en.wikipedia.org/wiki/List_of_supermarket_chains,4.8,"Colaba, Mumbai",Mumbai,Colaba,Restaurant,High,2937,Fine Dining,859,Yes,Yes,2213.0,Yes,Yes
Meidi-Ya,https://en.wikipedia.org/wiki/List_of_supermarket_chains,3.6,"Saket, Delhi",Delhi,Saket,Restaurant,Low,3600,Fine Dining,4107,No,Yes,195.0,No,No
UNY,https://en.wikipedia.org/wiki/List_of_supermarket_chains,2.8,"Saket, Delhi",Delhi,Saket,Restaurant,Low,929,Fast Food,1048,No,No,279.0,No,No
Flemings,https://en.wikipedia.org/wiki/List_of_supermarket_chains,3.8,"Edappally, Kochi",Kochi,Edappally,Restaurant,Low,1096,Fast Food,2766,Yes,No,338.0,No,Yes
Food For Less,https://en.wikipedia.org/wiki/List_of_supermarket_chains,3.9,"Colaba, Mumbai",Mumbai,Colaba,Restaurant,Medium,4011,Fast Food,2229,Yes,No,892.0,Yes,Yes
Lotus's,https://en.wikipedia.org/wiki/List_of_supermarket_chains,4.7,"Colaba, Mumbai",Mumbai,Colaba,Restaurant,High,4837,Fine Dining,1522,Yes,Yes,1964.0,Yes,Yes
Krónan,https://en.wikipedia.org/wiki/List_of_supermarket_chains,4.1,"Fort Kochi, Kochi",Kochi,Fort Kochi,Restaurant,Low,2495,Fine Dining,1043,No,Yes,300.0,No,No
Action Supermarkets,https://en.wikipedia.org/wiki/List_of_supermarket_chains,3.0,"MG Road, Bangalore",Bangalore,MG Road,Restaurant,Low,651,Fast Food,2152,Yes,No,147.0,Yes,Yes
Compre Bem,https://en.wikipedia.org/wiki/List_of_supermarket_chains,4.2,"Fort Kochi, Kochi",Kochi,Fort Kochi,Restaurant,Low,1523,Fast Food,3988,Yes,No,347.0,Yes,Yes
Extra Hipermercados,https://en.wikipedia.org/wiki/List_of_supermarket_chains,2.7,"Andheri, Mumbai",Mumbai,Andheri,Restaurant,High,2548,Fine Dining,2042,No,No,1431.0,No,No
GPA,https://en.wikipedia.org/wiki/List_of_supermarket_chains,3.0,"Connaught Place, Delhi",Delhi,Connaught Place,Restaurant,High,1845,Fine Dining,1395,No,Yes,2001.0,No,No
Sendas,https://en.wikipedia.org/wiki/List_of_supermarket_chains,3.8,"Kakkanad, Kochi",Kochi,Kakkanad,Restaurant,Medium,3977,Fine Dining,2546,No,Yes,931.0,No,No
Hagkaup,https://en.wikipedia.org/wiki/List_of_supermarket_chains,4.9,"Connaught Place, Delhi",Delhi,Connaught Place,Restaurant,High,3217,Fine Dining,349,Yes,Yes,2007.0,Yes,Yes
Irma,https://en.wikipedia.org/wiki/List_of_supermarket_chains,3.3,"Karol Bagh, Delhi",Delhi,Karol Bagh,Restaurant,High,3576,Fine Dining,1558,No,No,2093.0,No,No
Fantastico,https://en.wikipedia.org/wiki/List_of_supermarket_chains,4.5,"Whitefield, Bangalore",Bangalore,Whitefield,Restaurant,Low,3534,Fine Dining,2132,No,No,196.0,No,No
Casa Ley,https://en.wikipedia.org/wiki/List_of_supermarket_chains,4.6,"Indiranagar, Bangalore",Bangalore,Indiranagar,Restaurant,Low,3258,Fast Food,2671,Yes,No,339.0,Yes,Yes
Calimax,https://en.wikipedia.org/wiki/List_of_supermarket_chains,4.5,"Edappally, Kochi",Kochi,Edappally,Restaurant,Medium,1195,Fast Food,568,No,No,702.0,No,No
Carulla,https://en.wikipedia.org/wiki/List_of_supermarket_chains,4.8,"Fort Kochi, Kochi",Kochi,Fort Kochi,Restaurant,Medium,1148,Casual Dining,2563,No,Yes,1131.0,No,No
Salling Group,https://en.wikipedia.org/wiki/List_of_supermarket_chains,3.0,"Indiranagar, Bangalore",Bangalore,Indiranagar,Restaurant,Low,2623,Casual Dining,1538,Yes,No,293.0,Yes,Yes
føtex,https://en.wikipedia.org/wiki/List_of_supermarket_chains,3.3,"Whitefield, Bangalore",Bangalore,Whitefield,Restaurant,Low,2876,Fast Food,1466,No,No,270.0,No,No
Thrifty Foods,https://en.wikipedia.org/wiki/List_of_supermarket_chains,3.7,"Fort Kochi, Kochi",Kochi,Fort Kochi,Restaurant,High,3916,Fine Dining,2671,No,No,1521.0,No,No
Minipreço,https://en.wikipedia.org/wiki/List_of_supermarket_chains,4.6,"Saket, Delhi",Delhi,Saket,Restaurant,Low,1569,Fine Dining,2297,No,Yes,395.0,No,No
Piccadilly,https://en.wikipedia.org/wiki/List_of_supermarket_chains,3.0,"Bandra, Mumbai",Mumbai,Bandra,Restaurant,Low,1187,Fast Food,3868,No,No,126.0,No,No
Miracle Mart,https://en.wikipedia.org/wiki/List_of_supermarket_chains,3.7,"Whitefield, Bangalore",Bangalore,Whitefield,Restaurant,High,178,Fine Dining,464,Yes,Yes,1429.0,Yes,Yes
Masoutis,https://en.wikipedia.org/wiki/List_of_supermarket_chains,3.0,"Andheri, Mumbai",Mumbai,Andheri,Restaurant,Low,3838,Fine Dining,4842,Yes,No,373.0,Yes,Yes
Farm Boy,https://en.wikipedia.org/wiki/List_of_supermarket_chains,4.3,"Indiranagar, Bangalore",Bangalore,Indiranagar,Restaurant,High,622,Fine Dining,3057,Yes,No,1595.0,No,Yes
Steinberg's,https://en.wikipedia.org/wiki/List_of_supermarket_chains,4.0,"Bandra, Mumbai",Mumbai,Bandra,Restaurant,High,1897,Fine Dining,1944,No,Yes,1755.0,No,No
Supermercados Peruanos,https://en.wikipedia.org/wiki/List_of_supermarket_chains,3.9,"Whitefield, Bangalore",Bangalore,Whitefield,Restaurant,Low,174,Fine Dining,1622,No,Yes,340.0,No,No
Wong,https://en.wikipedia.org/wiki/List_of_supermarket_chains,4.6,"Saket, Delhi",Delhi,Saket,Restaurant,High,4315,Fine Dining,2248,Yes,No,1232.0,Yes,Yes
China Resources,https://en.wikipedia.org/wiki/List_of_supermarket_chains,3.1,"Colaba, Mumbai",Mumbai,Colaba,Restaurant,Medium,3208,Fine Dining,3662,Yes,Yes,1074.0,Yes,Yes
Safeway (Australia),https://en.wikipedia.org/wiki/List_of_supermarket_chains,3.4,"Colaba, Mumbai",Mumbai,Colaba,Restaurant,Medium,2833,Casual Dining,2255,Yes,Yes,1001.0,Yes,Yes
Roelf Vos Supermarkets,https://en.wikipedia.org/wiki/List_of_supermarket_chains,3.7,"Connaught Place, Delhi",Delhi,Connaught Place,Restaurant,Low,4383,Casual Dining,1419,No,No,293.0,No,No
Robinsons Supermarket,https://en.wikipedia.org/wiki/List_of_supermarket_chains,3.2,"Fort Kochi, Kochi",Kochi,Fort Kochi,Restaurant,Medium,3692,Fast Food,1293,Yes,Yes,724.0,Yes,Yes
SM Retail,https://en.wikipedia.org/wiki/List_of_supermarket_chains,4.1,"Indiranagar, Bangalore",Bangalore,Indiranagar,Restaurant,Medium,846,Casual Dining,1535,No,No,993.0,No,No
citysuper,https://en.wikipedia.org/wiki/List_of_supermarket_chains,3.5,"MG Road, Bangalore",Bangalore,MG Road,Restaurant,Low,591,Casual Dining,1389,No,Yes,329.0,No,No
Kansai Super,https://en.wikipedia.org/wiki/List_of_supermarket_chains,4.8,"MG Road, Bangalore",Bangalore,MG Road,Restaurant,Medium,2113,Fast Food,2711,Yes,No,1160.0,Yes,Yes
Extra Foods,https://en.wikipedia.org/wiki/List_of_supermarket_chains,3.3,"Edappally, Kochi",Kochi,Edappally,Restaurant,High,345,Fine Dining,2876,Yes,No,2232.0,Yes,Yes
Globus Department Store,https://en.wikipedia.org/wiki/List_of_supermarket_chains,2.7,"Bandra, Mumbai",Mumbai,Bandra,Restaurant,High,3235,Fine Dining,911,No,Yes,1401.0,No,No
Globus Holding,https://en.wikipedia.org/wiki/List_of_supermarket_chains,4.5,"Whitefield, Bangalore",Bangalore,Whitefield,Restaurant,Medium,3877,Fine Dining,2498,Yes,Yes,789.0,No,Yes
Globus,https://en.wikipedia.org/wiki/List_of_supermarket_chains,2.5,"Indiranagar, Bangalore",Bangalore,Indiranagar,Restaurant,High,3969,Fine Dining,1657,Yes,No,1743.0,No,Yes
Allied Stores,https://en.wikipedia.org/wiki/List_of_supermarket_chains,4.2,"Edappally, Kochi",Kochi,Edappally,Restaurant,Low,2388,Fine Dining,2738,No,Yes,352.0,No,No
T&T Supermarket,https://en.wikipedia.org/wiki/List_of_supermarket_chains,4.5,"Whitefield, Bangalore",Bangalore,Whitefield,Restaurant,Medium,2789,Fast Food,3575,Yes,No,1004.0,Yes,Yes
Match,https://en.wikipedia.org/wiki/List_of_supermarket_chains,3.4,"Indiranagar, Bangalore",Bangalore,Indiranagar,Restaurant,Medium,461,Casual Dining,4268,Yes,No,1135.0,Yes,Yes
Tegut,https://en.wikipedia.org/wiki/List_of_supermarket_chains,2.8,"Saket, Delhi",Delhi,Saket,Restaurant,Low,3900,Casual Dining,1443,Yes,Yes,322.0,Yes,Yes
Comet,https://en.wikipedia.org/wiki/List_of_supermarket_chains,3.6,"Saket, Delhi",Delhi,Saket,Restaurant,Medium,3542,Fast Food,1499,Yes,No,1055.0,Yes,Yes
The Mall Group,https://en.wikipedia.org/wiki/List_of_supermarket_chains,2.5,"Indiranagar, Bangalore",Bangalore,Indiranagar,Restaurant,Medium,657,Casual Dining,2803,No,No,972.0,No,No
Tengelmann Group,https://en.wikipedia.org/wiki/List_of_supermarket_chains,4.1,"Indiranagar, Bangalore",Bangalore,Indiranagar,Restaurant,Low,2799,Casual Dining,1692,No,Yes,156.0,No,No
Coto Supermarkets,https://en.wikipedia.org/wiki/List_of_supermarket_chains,4.0,"Saket, Delhi",Delhi,Saket,Restaurant,Medium,3858,Fast Food,990,No,Yes,701.0,No,No
Houchens Industries,https://en.wikipedia.org/wiki/List_of_supermarket_chains,3.3,"Connaught Place, Delhi",Delhi,Connaught Place,Restaurant,Low,1428,Casual Dining,2051,No,No,212.0,No,No
Warmans,https://en.wikipedia.org/wiki/List_of_supermarket_chains,2.9,"Saket, Delhi",Delhi,Saket,Restaurant,Low,451,Fast Food,1435,No,No,131.0,No,No
c!ty'super,https://en.wikipedia.org/wiki/List_of_supermarket_chains,4.1,"Whitefield, Bangalore",Bangalore,Whitefield,Restaurant,High,4149,Fine Dining,699,Yes,No,2124.0,Yes,Yes
Azbuka Vkusa,https://en.wikipedia.org/wiki/List_of_supermarket_chains,2.5,"Colaba, Mumbai",Mumbai,Colaba,Restaurant,High,4653,Fine Dining,750,No,Yes,1588.0,No,No
Dixy,https://en.wikipedia.org/wiki/List_of_supermarket_chains,3.5,"Saket, Delhi",Delhi,Saket,Restaurant,Low,3700,Fine Dining,725,No,Yes,297.0,No,No
Lenta,https://en.wikipedia.org/wiki/List_of_supermarket_chains,4.7,"Andheri, Mumbai",Mumbai,Andheri,Restaurant,High,3454,Fine Dining,1698,Yes,Yes,2039.0,Yes,Yes
Praktiker,https://en.wikipedia.org/wiki/List_of_supermarket_chains,4.1,"Colaba, Mumbai",Mumbai,Colaba,Restaurant,Medium,4140,Fine Dining,1610,No,Yes,491.0,No,No
Tinex,https://en.wikipedia.org/wiki/List_of_supermarket_chains,2.9,"Colaba, Mumbai",Mumbai,Colaba,Restaurant,High,3229,Fine Dining,2030,No,Yes,1715.0,No,No
The Warehouse Group,https://en.wikipedia.org/wiki/List_of_supermarket_chains,3.1,"Karol Bagh, Delhi",Delhi,Karol Bagh,Restaurant,High,2126,Fine Dining,3020,No,Yes,2209.0,No,No
Coles Group,https://en.wikipedia.org/wiki/List_of_supermarket_chains,2.6,"Andheri, Mumbai",Mumbai,Andheri,Restaurant,High,3774,Fine Dining,312,No,Yes,2335.0,No,No
Metcash,https://en.wikipedia.org/wiki/List_of_supermarket_chains,2.8,"Whitefield, Bangalore",Bangalore,Whitefield,Restaurant,High,4746,Fine Dining,641,No,Yes,1753.0,No,No
FoodWorks,https://en.wikipedia.org/wiki/List_of_supermarket_chains,3.6,"Andheri, Mumbai",Mumbai,Andheri,Restaurant,Low,3976,Fine Dining,1090,No,Yes,262.0,No,No
Pick-N-Pay Supermarkets,https://en.wikipedia.org/wiki/List_of_supermarket_chains,4.1,"Connaught Place, Delhi",Delhi,Connaught Place,Restaurant,Low,2462,Fast Food,1667,No,No,116.0,No,No
Pick n Pay,https://en.wikipedia.org/wiki/List_of_supermarket_chains,3.7,"Saket, Delhi",Delhi,Saket,Restaurant,Medium,1335,Fast Food,3093,No,No,1135.0,No,No
Woolworths Metro,https://en.wikipedia.org/wiki/List_of_supermarket_chains,4.2,"Bandra, Mumbai",Mumbai,Bandra,Restaurant,High,3392,Fine Dining,2036,Yes,No,2018.0,Yes,Yes
Newmart,https://en.wikipedia.org/wiki/List_of_supermarket_chains,4.3,"Saket, Delhi",Delhi,Saket,Restaurant,Medium,1933,Fine Dining,3611,No,Yes,838.0,No,No
Shoeys,https://en.wikipedia.org/wiki/List_of_supermarket_chains,3.7,"Fort Kochi, Kochi",Kochi,Fort Kochi,Restaurant,Medium,586,Casual Dining,1546,Yes,Yes,918.0,No,Yes
7-Eleven,https://en.wikipedia.org/wiki/List_of_convenience_stores,4.8,"Indiranagar, Bangalore",Kochi,Fort Kochi,Restaurant,High,749,Fine Dining,1101,Yes,No,2381.0,Yes,Yes
FamilyMart,https://en.wikipedia.org/wiki/List_of_convenience_stores,3.4,"Connaught Place, Delhi",Kochi,Fort Kochi,Restaurant,Low,2422,Fine Dining,3955,No,Yes,116.0,No,No
OXXO,https://en.wikipedia.org/wiki/List_of_convenience_stores,2.8,"MG Road, Bangalore",Bangalore,MG Road,Restaurant,Medium,2587,Fast Food,2048,No,No,926.0,No,No
Lawson,https://en.wikipedia.org/wiki/List_of_convenience_stores,4.2,"Bandra, Mumbai",Mumbai,Bandra,Restaurant,High,3016,Fine Dining,467,Yes,Yes,1523.0,Yes,Yes
Alfamart,https://en.wikipedia.org/wiki/List_of_convenience_stores,4.9,"MG Road, Bangalore",Bangalore,MG Road,Restaurant,High,4973,Fine Dining,3350,No,Yes,2466.0,No,No
Circle K,https://en.wikipedia.org/wiki/List_of_convenience_stores,3.7,"Colaba, Mumbai",Bangalore,MG Road,Restaurant,High,980,Fine Dining,2514,No,Yes,2016.0,No,No
Żabka,https://en.wikipedia.org/wiki/List_of_convenience_stores,4.1,"Kakkanad, Kochi",Kochi,Kakkanad,Restaurant,Medium,4066,Fine Dining,144,No,Yes,1099.0,No,No
Carrefour City,https://en.wikipedia.org/wiki/List_of_convenience_stores,4.2,"Bandra, Mumbai",Mumbai,Bandra,Restaurant,High,3506,Fine Dining,246,Yes,No,2382.0,Yes,Yes
CBA,https://en.wikipedia.org/wiki/List_of_convenience_stores,2.9,"Bandra, Mumbai",Mumbai,Bandra,Restaurant,Medium,445,Fine Dining,2904,No,Yes,417.0,No,No
Ministop,https://en.wikipedia.org/wiki/List_of_convenience_stores,2.9,"Karol Bagh, Delhi",Delhi,Karol Bagh,Restaurant,Medium,2221,Casual Dining,1185,Yes,Yes,504.0,Yes,Yes
Tesco Express,https://en.wikipedia.org/wiki/List_of_convenience_stores,3.0,"Saket, Delhi",Delhi,Saket,Restaurant,Low,4992,Casual Dining,1404,No,Yes,323.0,No,No
SPAR Express,https://en.wikipedia.org/wiki/List_of_convenience_stores,4.0,"Connaught Place, Delhi",Delhi,Connaught Place,Restaurant,Low,2352,Fast Food,2429,Yes,No,193.0,Yes,Yes
Allie's Donuts,https://en.wikipedia.org/wiki/List_of_doughnut_shops,4.4,"Andheri, Mumbai",Mumbai,Andheri,Dessert,High,498,Fine Dining,1677,Yes,No,1321.0,Yes,Yes
BeaverTails,https://en.wikipedia.org/wiki/List_of_doughnut_shops,4.4,"Indiranagar, Bangalore",Bangalore,Indiranagar,Restaurant,Low,1999,Dessert,1055,Yes,No,133.0,Yes,Yes
Bess Eaton,https://en.wikipedia.org/wiki/List_of_doughnut_shops,4.3,"Connaught Place, Delhi",Delhi,Connaught Place,Restaurant,Low,3908,Fast Food,967,Yes,No,102.0,Yes,Yes
Big Apple Donuts and Coffee,https://en.wikipedia.org/wiki/List_of_doughnut_shops,3.7,"Andheri, Mumbai",Mumbai,Andheri,Cafe,High,4751,Fine Dining,640,Yes,No,2239.0,No,Yes
Café du Monde,https://en.wikipedia.org/wiki/List_of_doughnut_shops,3.8,"Connaught Place, Delhi",Delhi,Connaught Place,Restaurant,High,1032,Fine Dining,1940,No,No,1592.0,No,No
Cardigan Donuts,https://en.wikipedia.org/wiki/List_of_doughnut_shops,2.8,"Fort Kochi, Kochi",Kochi,Fort Kochi,Dessert,Low,4347,Fine Dining,1512,No,Yes,387.0,No,No
Churromania,https://en.wikipedia.org/wiki/List_of_doughnut_shops,2.6,"Karol Bagh, Delhi",Delhi,Karol Bagh,Restaurant,High,1954,Fine Dining,571,Yes,No,1335.0,Yes,Yes
Coffee Time,https://en.wikipedia.org/wiki/List_of_doughnut_shops,3.7,"Edappally, Kochi",Kochi,Edappally,Cafe,Medium,2182,Fine Dining,1262,Yes,Yes,1000.0,Yes,Yes
Country Style,https://en.wikipedia.org/wiki/List_of_doughnut_shops,4.9,"Whitefield, Bangalore",Bangalore,Whitefield,Restaurant,Low,3874,Cafe,2574,Yes,No,230.0,Yes,Yes
Dawn Donuts,https://en.wikipedia.org/wiki/List_of_doughnut_shops,5.0,"Saket, Delhi",Delhi,Saket,Dessert,High,2099,Fine Dining,646,Yes,No,1541.0,Yes,Yes
Daylight Donuts,https://en.wikipedia.org/wiki/List_of_doughnut_shops,4.0,"Edappally, Kochi",Kochi,Edappally,Dessert,Medium,4596,Dessert,2499,Yes,No,501.0,Yes,Yes
The Donut Hole,https://en.wikipedia.org/wiki/List_of_doughnut_shops,3.8,"Edappally, Kochi",Kochi,Edappally,Dessert,Medium,2188,Dessert,75,Yes,No,592.0,Yes,Yes
Donut King,https://en.wikipedia.org/wiki/List_of_doughnut_shops,2.6,"Kakkanad, Kochi",Kochi,Kakkanad,Dessert,Medium,2073,Dessert,2228,Yes,No,930.0,No,Yes
Donut Wheel,https://en.wikipedia.org/wiki/List_of_doughnut_shops,3.4,"Fort Kochi, Kochi",Kochi,Fort Kochi,Dessert,Low,4481,Dessert,741,Yes,Yes,251.0,Yes,Yes
Duck Donuts,https://en.wikipedia.org/wiki/List_of_doughnut_shops,4.7,"Bandra, Mumbai",Mumbai,Bandra,Dessert,Low,2938,Dessert,2992,Yes,No,271.0,No,Yes
Dunkin' Donuts (Dunkin'),https://en.wikipedia.org/wiki/List_of_doughnut_shops,2.9,"MG Road, Bangalore",Bangalore,MG Road,Dessert,Medium,4168,Dessert,1390,Yes,No,913.0,Yes,Yes
Five Daughters Bakery,https://en.wikipedia.org/wiki/List_of_doughnut_shops,4.8,"Fort Kochi, Kochi",Kochi,Fort Kochi,Restaurant,High,765,Fine Dining,2209,Yes,Yes,1707.0,Yes,Yes
Go Nuts Donuts,https://en.wikipedia.org/wiki/List_of_doughnut_shops,2.6,"Kakkanad, Kochi",Kochi,Kakkanad,Dessert,High,129,Fine Dining,3528,No,Yes,1690.0,No,No
Honey Dew Donuts,https://en.wikipedia.org/wiki/List_of_doughnut_shops,2.8,"Edappally, Kochi",Kochi,Edappally,Dessert,Medium,4393,Dessert,1645,Yes,Yes,1169.0,No,Yes
J.CO Donuts,https://en.wikipedia.org/wiki/List_of_doughnut_shops,4.7,"Kakkanad, Kochi",Kochi,Kakkanad,Dessert,Low,3063,Dessert,852,No,No,144.0,No,No
Krispy Kreme,https://en.wikipedia.org/wiki/List_of_doughnut_shops,4.8,"Kakkanad, Kochi",Kochi,Kakkanad,Restaurant,High,1423,Fine Dining,1306,No,No,1259.0,No,No
LaMar's Donuts,https://en.wikipedia.org/wiki/List_of_doughnut_shops,2.6,"Indiranagar, Bangalore",Bangalore,Indiranagar,Dessert,Low,1619,Fine Dining,1702,Yes,Yes,382.0,No,Yes
Leonard's Bakery,https://en.wikipedia.org/wiki/List_of_doughnut_shops,3.3,"Karol Bagh, Delhi",Delhi,Karol Bagh,Restaurant,High,2436,Fine Dining,2658,Yes,No,2036.0,Yes,Yes
Long's Bakery,https://en.wikipedia.org/wiki/List_of_doughnut_shops,4.5,"Fort Kochi, Kochi",Kochi,Fort Kochi,Restaurant,Low,4527,Fine Dining,450,No,Yes,279.0,No,No
Mighty-O Donuts,https://en.wikipedia.org/wiki/List_of_doughnut_shops,4.4,"Bandra, Mumbai",Mumbai,Bandra,Dessert,Medium,3517,Fast Food,3230,No,Yes,553.0,No,No
Mister Donut,https://en.wikipedia.org/wiki/List_of_doughnut_shops,2.6,"Fort Kochi, Kochi",Kochi,Fort Kochi,Dessert,High,1999,Fine Dining,2230,Yes,Yes,1676.0,No,Yes
